"date","FCmean","FCH4mean","LEmean"
20110101,NA,NA,NA
20110102,NA,NA,NA
20110103,NA,NA,NA
20110104,NA,NA,NA
20110105,NA,NA,NA
20110106,NA,NA,NA
20110107,NA,NA,NA
20110108,NA,NA,NA
20110109,NA,NA,NA
20110110,NA,NA,NA
20110111,NA,NA,NA
20110112,NA,NA,NA
20110113,NA,NA,NA
20110114,NA,NA,NA
20110115,NA,NA,NA
20110116,NA,NA,NA
20110117,NA,NA,NA
20110118,NA,NA,NA
20110119,NA,NA,NA
20110120,NA,NA,NA
20110121,NA,NA,NA
20110122,NA,NA,NA
20110123,NA,NA,NA
20110124,NA,NA,NA
20110125,NA,NA,NA
20110126,NA,NA,NA
20110127,NA,NA,NA
20110128,NA,NA,NA
20110129,NA,NA,NA
20110130,NA,NA,NA
20110131,NA,NA,NA
20110201,NA,NA,NA
20110202,NA,NA,NA
20110203,NA,NA,NA
20110204,NA,NA,NA
20110205,NA,NA,NA
20110206,NA,NA,NA
20110207,NA,NA,NA
20110208,NA,NA,NA
20110209,NA,NA,NA
20110210,NA,NA,NA
20110211,NA,NA,NA
20110212,NA,NA,NA
20110213,NA,NA,NA
20110214,NA,NA,NA
20110215,NA,NA,NA
20110216,NA,NA,NA
20110217,NA,NA,NA
20110218,NA,NA,NA
20110219,NA,NA,NA
20110220,NA,NA,NA
20110221,NA,NA,NA
20110222,NA,NA,NA
20110223,NA,NA,NA
20110224,NA,NA,NA
20110225,NA,NA,NA
20110226,NA,NA,NA
20110227,NA,NA,NA
20110228,NA,NA,NA
20110301,NA,NA,NA
20110302,NA,NA,NA
20110303,NA,NA,NA
20110304,NA,NA,NA
20110305,NA,NA,NA
20110306,NA,NA,NA
20110307,NA,NA,NA
20110308,NA,NA,NA
20110309,NA,NA,NA
20110310,NA,NA,NA
20110311,NA,NA,NA
20110312,NA,NA,NA
20110313,NA,NA,NA
20110314,NA,NA,NA
20110315,NA,NA,NA
20110316,NA,NA,NA
20110317,NA,NA,NA
20110318,NA,NA,NA
20110319,NA,NA,NA
20110320,NA,NA,NA
20110321,NA,NA,NA
20110322,NA,NA,NA
20110323,NA,NA,NA
20110324,NA,NA,NA
20110325,NA,NA,NA
20110326,NA,NA,NA
20110327,NA,NA,NA
20110328,NA,NA,NA
20110329,NA,NA,NA
20110330,NA,NA,NA
20110331,NA,NA,NA
20110401,NA,NA,NA
20110402,NA,NA,NA
20110403,NA,NA,NA
20110404,NA,NA,NA
20110405,NA,NA,NA
20110406,NA,NA,NA
20110407,NA,NA,NA
20110408,NA,NA,NA
20110409,NA,NA,NA
20110410,NA,NA,NA
20110411,NA,NA,NA
20110412,NA,NA,NA
20110413,NA,NA,NA
20110414,NA,NA,NA
20110415,NA,NA,NA
20110416,NA,NA,NA
20110417,NA,NA,NA
20110418,NA,NA,NA
20110419,NA,NA,NA
20110420,NA,NA,NA
20110421,NA,NA,NA
20110422,NA,NA,NA
20110423,NA,NA,NA
20110424,NA,NA,NA
20110425,NA,NA,NA
20110426,NA,NA,NA
20110427,NA,NA,NA
20110428,NA,NA,NA
20110429,NA,NA,NA
20110430,NA,NA,NA
20110501,NA,NA,NA
20110502,NA,NA,NA
20110503,NA,NA,NA
20110504,NA,NA,NA
20110505,NA,NA,NA
20110506,NA,NA,NA
20110507,NA,NA,NA
20110508,NA,NA,NA
20110509,NA,NA,NA
20110510,NA,NA,NA
20110511,NA,NA,NA
20110512,NA,NA,NA
20110513,NA,NA,NA
20110514,NA,NA,NA
20110515,NA,NA,NA
20110516,NA,NA,NA
20110517,NA,NA,NA
20110518,NA,NA,NA
20110519,NA,NA,NA
20110520,NA,NA,NA
20110521,NA,NA,NA
20110522,NA,NA,NA
20110523,NA,NA,NA
20110524,NA,NA,NA
20110525,NA,NA,NA
20110526,NA,NA,NA
20110527,NA,NA,NA
20110528,NA,NA,NA
20110529,NA,NA,NA
20110530,NA,NA,NA
20110531,NA,NA,NA
20110601,NA,NA,NA
20110602,NA,NA,NA
20110603,NA,NA,NA
20110604,NA,NA,NA
20110605,NA,NA,NA
20110606,NA,NA,NA
20110607,NA,NA,NA
20110608,NA,NA,NA
20110609,NA,NA,NA
20110610,NA,NA,NA
20110611,NA,NA,NA
20110612,NA,NA,NA
20110613,NA,NA,NA
20110614,NA,NA,NA
20110615,NA,NA,NA
20110616,NA,NA,NA
20110617,NA,NA,NA
20110618,NA,NA,NA
20110619,NA,NA,NA
20110620,NA,NA,NA
20110621,NA,NA,NA
20110622,NA,NA,NA
20110623,NA,NA,NA
20110624,NA,NA,NA
20110625,NA,NA,NA
20110626,NA,NA,NA
20110627,NA,NA,NA
20110628,NA,NA,NA
20110629,NA,NA,NA
20110630,NA,NA,NA
20110701,NA,NA,NA
20110702,NA,NA,NA
20110703,NA,NA,NA
20110704,NA,NA,NA
20110705,NA,NA,NA
20110706,NA,NA,NA
20110707,NA,NA,NA
20110708,NA,NA,NA
20110709,NA,NA,NA
20110710,NA,NA,NA
20110711,NA,NA,NA
20110712,NA,NA,NA
20110713,NA,NA,NA
20110714,NA,NA,NA
20110715,NA,NA,NA
20110716,NA,NA,NA
20110717,NA,NA,NA
20110718,NA,NA,NA
20110719,NA,NA,NA
20110720,NA,NA,NA
20110721,NA,NA,NA
20110722,NA,NA,NA
20110723,NA,NA,NA
20110724,NA,NA,NA
20110725,NA,NA,NA
20110726,NA,NA,NA
20110727,NA,NA,NA
20110728,NA,NA,NA
20110729,NA,NA,NA
20110730,NA,NA,NA
20110731,NA,NA,NA
20110801,NA,NA,NA
20110802,NA,NA,NA
20110803,NA,NA,NA
20110804,NA,NA,NA
20110805,NA,NA,NA
20110806,NA,NA,NA
20110807,NA,NA,NA
20110808,NA,NA,NA
20110809,NA,NA,NA
20110810,NA,NA,NA
20110811,NA,NA,NA
20110812,NA,NA,NA
20110813,NA,NA,NA
20110814,NA,NA,NA
20110815,NA,NA,NA
20110816,NA,NA,NA
20110817,NA,NA,NA
20110818,NA,NA,NA
20110819,NA,NA,NA
20110820,NA,NA,NA
20110821,NA,NA,NA
20110822,NA,NA,NA
20110823,NA,NA,NA
20110824,NA,NA,NA
20110825,NA,NA,NA
20110826,NA,NA,NA
20110827,NA,NA,NA
20110828,NA,NA,NA
20110829,NA,NA,NA
20110830,NA,NA,NA
20110831,NA,NA,NA
20110901,NA,NA,NA
20110902,NA,NA,NA
20110903,NA,NA,NA
20110904,NA,NA,NA
20110905,NA,NA,NA
20110906,NA,NA,NA
20110907,NA,NA,NA
20110908,NA,NA,NA
20110909,NA,NA,NA
20110910,NA,NA,NA
20110911,NA,NA,NA
20110912,NA,NA,NA
20110913,NA,NA,NA
20110914,NA,NA,NA
20110915,NA,NA,NA
20110916,NA,NA,NA
20110917,NA,NA,NA
20110918,NA,NA,NA
20110919,NA,NA,NA
20110920,NA,NA,NA
20110921,NA,NA,NA
20110922,NA,NA,NA
20110923,NA,NA,NA
20110924,NA,NA,NA
20110925,NA,NA,NA
20110926,NA,NA,NA
20110927,NA,NA,NA
20110928,NA,NA,NA
20110929,NA,NA,NA
20110930,NA,NA,NA
20111001,NA,NA,NA
20111002,NA,NA,NA
20111003,NA,NA,NA
20111004,NA,NA,NA
20111005,NA,NA,NA
20111006,NA,NA,NA
20111007,NA,NA,NA
20111008,NA,NA,NA
20111009,NA,NA,NA
20111010,NA,NA,NA
20111011,NA,NA,NA
20111012,NA,NA,NA
20111013,NA,NA,NA
20111014,NA,NA,NA
20111015,NA,NA,NA
20111016,NA,NA,NA
20111017,NA,NA,NA
20111018,NA,NA,NA
20111019,NA,NA,NA
20111020,NA,NA,NA
20111021,NA,NA,NA
20111022,NA,NA,NA
20111023,NA,NA,NA
20111024,NA,NA,NA
20111025,NA,NA,NA
20111026,NA,NA,NA
20111027,NA,NA,NA
20111028,NA,NA,NA
20111029,NA,NA,NA
20111030,NA,NA,NA
20111031,NA,NA,NA
20111101,NA,NA,NA
20111102,NA,NA,NA
20111103,NA,NA,NA
20111104,NA,NA,NA
20111105,NA,NA,NA
20111106,NA,NA,NA
20111107,NA,NA,NA
20111108,NA,NA,NA
20111109,NA,NA,NA
20111110,NA,NA,NA
20111111,NA,NA,NA
20111112,NA,NA,NA
20111113,NA,NA,NA
20111114,NA,NA,NA
20111115,NA,NA,NA
20111116,NA,NA,NA
20111117,NA,NA,NA
20111118,NA,NA,NA
20111119,NA,NA,NA
20111120,NA,NA,NA
20111121,NA,NA,NA
20111122,NA,NA,NA
20111123,NA,NA,NA
20111124,NA,NA,NA
20111125,NA,NA,NA
20111126,NA,NA,NA
20111127,NA,NA,NA
20111128,NA,NA,NA
20111129,NA,NA,NA
20111130,NA,NA,NA
20111201,NA,NA,NA
20111202,NA,NA,NA
20111203,NA,NA,NA
20111204,NA,NA,NA
20111205,NA,NA,NA
20111206,NA,NA,NA
20111207,NA,NA,NA
20111208,NA,NA,NA
20111209,NA,NA,NA
20111210,NA,NA,NA
20111211,NA,NA,NA
20111212,NA,NA,NA
20111213,NA,NA,NA
20111214,NA,NA,NA
20111215,NA,NA,NA
20111216,NA,16.4962307692308,NA
20111217,NA,NA,NA
20111218,NA,NA,NA
20111219,NA,24.9145641025641,NA
20111220,NA,NA,NA
20111221,NA,NA,NA
20111222,NA,NA,NA
20111223,NA,35.4436666666667,15.5813191489362
20111224,NA,68.5517368421053,13.3046739130435
20111225,NA,29.73492,NA
20111226,NA,NA,NA
20111227,NA,15.5732058823529,NA
20111228,NA,48.12375,NA
20111229,NA,25.25524,NA
20111230,NA,26.2323333333333,NA
20111231,NA,NA,NA
20120101,NA,25.973,NA
20120102,NA,27.9230789473684,NA
20120103,NA,46.106935483871,NA
20120104,NA,45.9424642857143,NA
20120105,NA,NA,NA
20120106,NA,NA,NA
20120107,NA,16.1447307692308,NA
20120108,NA,NA,NA
20120109,NA,23.459037037037,NA
20120110,NA,12.7191379310345,NA
20120111,NA,22.7294864864865,NA
20120112,NA,17.3088461538462,NA
20120113,NA,24.2451176470588,NA
20120114,NA,NA,NA
20120115,NA,NA,NA
20120116,NA,21.6965454545455,NA
20120117,NA,NA,NA
20120118,NA,NA,NA
20120119,NA,NA,NA
20120120,NA,NA,NA
20120121,NA,NA,NA
20120122,NA,NA,NA
20120123,NA,NA,NA
20120124,NA,NA,NA
20120125,NA,NA,NA
20120126,NA,NA,NA
20120127,NA,NA,NA
20120128,NA,NA,NA
20120129,NA,NA,NA
20120130,NA,NA,NA
20120131,NA,NA,NA
20120201,NA,NA,NA
